datetime,open,high,low,close,volume,ma5,ma20,signal,signal_change,position,equity,equity_curve,market_return,market_curve
2021-06-13,35546.12,39380.0,34757.0,39020.57,86921.025555,37192.486,36690.171500000004,1,1.0,0,404076.6127900169,4.040766127900169,0.09774515411109674,5.418883881763947
2021-06-14,39020.56,41064.05,38730.0,40516.29,108522.391949,37818.134000000005,36799.75,1,0.0,1,419146.0486674722,4.191460486674722,0.03833157742185733,5.626598248817837
2021-06-15,40516.28,41330.0,39506.4,40144.04,80679.622838,38511.797999999995,36844.8565,1,0.0,1,415295.0762162318,4.152950762162318,-0.009187662542646469,5.574902962844653
2021-06-16,40143.8,40527.14,38116.01,38349.01,87771.976937,38715.204,36835.808000000005,1,0.0,1,396725.26807882404,3.9672526807882402,-0.04471473224917066,5.325622669545946
2021-06-17,38349.0,39559.88,37365.0,38092.97,79541.307119,39224.576,36957.282,1,0.0,1,394076.50250081037,3.940765025008104,-0.006676573919378925,5.290065756126002
2021-06-18,38092.97,38202.84,35129.29,35819.84,95228.042935,38584.43,37018.0165,1,0.0,1,370560.69052475103,3.7056069052475102,-0.05967321529405567,4.9743905233409835
2021-06-19,35820.48,36457.0,34803.52,35483.72,68712.449461,37577.916,37010.139,1,0.0,1,367083.4874077305,3.670834874077305,-0.00938362650419422,4.927712700583949
2021-06-20,35483.72,36137.72,33336.0,35600.16,89878.17085,36669.14,36927.4565,0,-1.0,1,368288.0736595033,3.682880736595033,0.003281504870402685,4.9438830138108605
2021-06-21,35600.17,35750.0,31251.23,31608.93,168778.873159,35321.123999999996,36673.2485,0,0.0,0,367919.8889336337,3.679198889336337,-0.11211269836989501,4.389610948707436
2021-06-22,31614.12,33298.78,28805.0,32509.56,204208.179762,34204.442,36420.2925,0,0.0,0,367919.8889336337,3.679198889336337,0.028492897418546104,4.514683683176284
2021-06-23,32509.56,34881.0,31683.0,33678.07,126966.100563,33776.088,36141.8565,0,0.0,0,367919.8889336337,3.679198889336337,0.0359435809035864,4.676957581396633
2021-06-24,33675.07,35298.0,32286.57,34663.09,86625.80426,33611.962,36033.561,0,0.0,0,367919.8889336337,3.679198889336337,0.029248113089615835,4.813749765652657
2021-06-25,34663.08,35500.0,31275.0,31584.45,116061.130356,32808.82,35837.1235,0,0.0,0,367919.8889336337,3.679198889336337,-0.08881608650584805,4.386211350048945
